0	0.012	-0.015	0.022
0	-0.009	0.004	0.004
0	-0.024	0.009	0
0	-0.035	0.002	0.006
0	-0.038	-0.006	0.011
0	-0.033	-0.009	0.008
0	-0.023	-0.008	-0.002
0	-0.011	-0.006	-0.012
0	-0.005	-0.004	-0.013
0	-0.005	-0.002	-0.007
0	-0.009	0.003	-0.001
0	-0.013	0.009	0
0	-0.016	0.016	-0.006
0	-0.016	0.019	-0.013
0	-0.014	0.017	-0.016
0	-0.01	0.011	-0.013
0	-0.008	0.003	-0.007
0	-0.009	-0.001	-0.002
0	-0.012	-0.003	0
0	-0.017	-0.004	0.002
0	-0.023	-0.008	0.009
0	-0.027	-0.014	0.019
0	-0.031	-0.02	0.026
0	-0.032	-0.022	0.027
0	-0.032	-0.018	0.021
0	-0.03	-0.012	0.012
0	-0.027	-0.006	0.005
0	-0.023	-0.004	0.001
0	-0.019	-0.004	0
0	-0.015	-0.005	0.002
0	-0.012	-0.004	0.003
0	-0.01	-0.003	0
0	-0.01	-0.003	-0.006
0	-0.011	-0.004	-0.012
0	-0.012	-0.004	-0.013
0	-0.013	-0.001	-0.009
0	-0.013	0.004	-0.003
0	-0.013	0.006	0.004
0	-0.013	0.003	0.01
0	-0.015	-0.004	0.014
0	-0.016	-0.01	0.016
0	-0.017	-0.011	0.015
0	-0.017	-0.009	0.009
0	-0.017	-0.006	0.004
0	-0.019	-0.005	0.001
0	-0.024	-0.004	0.002
0	-0.03	-0.002	0.004
0	-0.031	0	0.005
0	-0.028	0.001	0.002
0	-0.021	0.001	-0.002
0	-0.014	-0.001	-0.007
0	-0.009	-0.002	-0.01
0	-0.008	-0.003	-0.012
0	-0.008	-0.003	-0.012
0	-0.01	-0.003	-0.011
0	-0.01	-0.001	-0.007
0	-0.01	0	-0.001
0	-0.011	-0.001	0.006
0	-0.015	-0.004	0.012
0	-0.021	-0.008	0.013
0	-0.027	-0.009	0.009
0	-0.03	-0.007	0.003
0	-0.028	-0.004	-0.001
0	-0.024	-0.002	0.001
0	-0.019	-0.002	0.004
0	-0.017	-0.004	0.004
0	-0.019	-0.003	0
0	-0.024	0.001	-0.007
0	-0.028	0.008	-0.011
0	-0.025	0.013	-0.009
0	-0.017	0.012	-0.004
0	-0.009	0.007	-0.002
0	-0.006	0	-0.006
0	-0.01	-0.004	-0.011
0	-0.016	-0.004	-0.011
0	-0.02	-0.005	-0.005
0	-0.019	-0.008	0.005
0	-0.016	-0.013	0.014
0	-0.015	-0.016	0.017
0	-0.017	-0.014	0.015
0	-0.018	-0.008	0.009
0	-0.015	-0.002	0.001
0	-0.008	0.001	-0.004
0	-0.003	-0.001	-0.005
0	-0.003	-0.004	-0.002
0	-0.009	-0.008	0.001
0	-0.015	-0.01	0.002
0	-0.016	-0.01	-0.001
0	-0.012	-0.009	-0.005
0	-0.006	-0.005	-0.008
0	-0.004	-0.001	-0.006
0	-0.008	0	-0.001
0	-0.014	-0.005	0.006
0	-0.018	-0.015	0.01
0	-0.019	-0.024	0.012
0	-0.02	-0.026	0.013
0	-0.02	-0.021	0.013
0	-0.022	-0.011	0.012
0	-0.021	-0.004	0.01
0	-0.018	-0.001	0.005
0	-0.013	0	0
0	-0.009	0	-0.002
0	-0.005	0.003	0
0	-0.003	0.009	0.004
